E_elc_Ry	ks1/2J1/2
0.30561	-2.338339663
0.30641	-2.338477551
0.30721	-2.338615479
0.30801	-2.338753446
0.30881	-2.338891452
0.30961	-2.339006487
0.31041	-2.339120751
0.31121	-2.339258869
0.31201	-2.339397026
0.31281	-2.339535223
0.31361	-2.339650417
0.31441	-2.339788687
0.31521	-2.339903178
0.31601	-2.340041526
0.31681	-2.340156846
0.31761	-2.340295267
0.31841	-2.340433727
0.31921	-2.340548407
0.32001	-2.340663854
0.32081	-2.340802426
0.32161	-2.340941038
0.32241	-2.34107969
0.32321	-2.341195263
0.32401	-2.341333987
0.32481	-2.341448929
0.32561	-2.341564595
0.32641	-2.341703432
0.32721	-2.341842308
0.32801	-2.341981224
0.32881	-2.342097017
0.32961	-2.342212181
0.33041	-2.34235121
0.33121	-2.342467097
0.33201	-2.342606198
0.33281	-2.342722146
0.33361	-2.342861947
0.33441	-2.342999913
0.33521	-2.34311596
0.33601	-2.343232645
0.33681	-2.343346929
0.33761	-2.3434869
0.33841	-2.343626306
0.33921	-2.343765752
0.34001	-2.343881987
0.34081	-2.343997676
0.34161	-2.344137235
0.34241	-2.344253564
0.34321	-2.344371035
0.34401	-2.344509586
0.34481	-2.344649292
0.34561	-2.344789037
0.34641	-2.344881689
0.34721	-2.345021507
0.34801	-2.345161366
0.34881	-2.345277945
0.34961	-2.345417876
0.35041	-2.345510682
0.35121	-2.345650687
0.35201	-2.345790732
0.35281	-2.345907467
0.35361	-2.346047585
0.35441	-2.346163908
0.35521	-2.346280737
0.35601	-2.346420507
0.35681	-2.346537859
0.35761	-2.346678165
0.35841	-2.34681851
0.35921	-2.346911658
0.36001	-2.347052077
0.36081	-2.347192536
0.36161	-2.347309616
0.36241	-2.34742631
0.36321	-2.347590722
0.36401	-2.347684057
0.36481	-2.347824704
0.36561	-2.34794194
0.36641	-2.348082661
0.36721	-2.348199581
0.36801	-2.348316912
0.36881	-2.348457746
0.36961	-2.348575139
0.37041	-2.348716048
0.37121	-2.348856996
0.37201	-2.348950642
0.37281	-2.349091664
0.37361	-2.349209214
0.37441	-2.349350311
0.37521	-2.349491447
0.37601	-2.349585248
0.37681	-2.349726459
0.37761	-2.349844166
0.37841	-2.349985451
0.37921	-2.350126776
0.38001	-2.350244578
0.38081	-2.350362132
0.38161	-2.350479996
0.38241	-2.350621469
0.38321	-2.350739395
0.38401	-2.350880943
0.38481	-2.351022532
0.38561	-2.351116705
0.38641	-2.351258368
0.38721	-2.351376451
0.38801	-2.351518188
0.38881	-2.351636334
0.38961	-2.351778145
0.39041	-2.351896352
0.39121	-2.352014389
0.39201	-2.352156316
0.39281	-2.352274619
0.39361	-2.35241662
0.39441	-2.352534985
0.39521	-2.35267706
0.39601	-2.352795487
0.39681	-2.352913787
0.39761	-2.353032276
0.39841	-2.353174501
0.39921	-2.353293052
0.40001	-2.353435352
0.40081	-2.353553965
0.40161	-2.353696339
0.40241	-2.353791163
0.40321	-2.353933612
0.40401	-2.35405235
0.40481	-2.354194874
0.40561	-2.354313674
0.40641	-2.354456273
0.40721	-2.354575136
0.40801	-2.354717809
0.40881	-2.354812881
0.40961	-2.354955629
0.41041	-2.355074616
0.41121	-2.355217439
0.41201	-2.35533649
0.41281	-2.355455568
0.41361	-2.3555985
0.41441	-2.355717641
0.41521	-2.355836794
0.41601	-2.355955997
0.41681	-2.356099079
0.41761	-2.356218346
0.41841	-2.356361503
0.41921	-2.356456976
0.42001	-2.356624105
0.42081	-2.356719575
0.42161	-2.35683902
0.42241	-2.356982362
0.42321	-2.357491444
0.42401	-2.357221306
0.42481	-2.357364751
0.42561	-2.357460463
0.42641	-2.357603983
0.42721	-2.357723614
0.42801	-2.357867209
0.42881	-2.357986903
0.42961	-2.358106717
0.43041	-2.358226473
0.43121	-2.358346258
0.43201	-2.358490039
0.43281	-2.358609887
0.43361	-2.358729763
0.43441	-2.358873653
0.43521	-2.358993593
0.43601	-2.359113701
0.43681	-2.359233704
0.43761	-2.359353735
0.43841	-2.35949781
0.43921	-2.359617905
0.44001	-2.359738028
0.44081	-2.359882213
0.44161	-2.360002399
0.44241	-2.360098755
0.44321	-2.360243051
0.44401	-2.360363329
0.44481	-2.360483636
0.44561	-2.360628041
0.44641	-2.360748411
0.44721	-2.36086881
0.44801	-2.361013326
0.44881	-2.361109928
0.44961	-2.361230419
0.45041	-2.361375045
0.45121	-2.361495599
0.45201	-2.361616182
0.45281	-2.361760919
0.45361	-2.361881564
0.45441	-2.361978379
0.45521	-2.362147087
0.45601	-2.362243965
0.45681	-2.362364732
0.45761	-2.362485528
0.45841	-2.36263052
0.45921	-2.36275138
0.46001	-2.362872267
0.46081	-2.363017371
