E_elc_Ry	kp3/2J1/2 6s[1/2]
0.357601	2.446249689
0.358401	2.445996745
0.359201	2.445746221
0.360001	2.445493483
0.360801	2.445254885
0.361601	2.445004648
0.362401	2.444754504
0.363201	2.444504453
0.364001	2.444254495
0.364801	2.444004629
0.365601	2.443754856
0.366401	2.44351917
0.367201	2.443269577
0.368001	2.443022316
0.368801	2.442772901
0.369601	2.442525805
0.370401	2.442278788
0.371201	2.44203185
0.372001	2.441784991
0.372801	2.441538211
0.373601	2.441305457
0.374401	2.441047074
0.375201	2.440800524
0.376001	2.440567986
0.376801	2.440309828
0.377601	2.440065668
0.378401	2.439821573
0.379201	2.439577545
0.380001	2.439333582
0.380801	2.439089685
0.381601	2.438845854
0.382401	2.438602089
0.383201	2.438358389
0.384001	2.438116862
0.384801	2.437873288
0.385601	2.437631873
0.386401	2.43737664
0.387201	2.437135335
0.388001	2.436905871
0.388801	2.436664674
0.389601	2.43642353
0.390401	2.436182439
0.391201	2.435929605
0.392001	2.435688617
0.392801	2.435447683
0.393601	2.435206801
0.394401	2.434954168
0.395201	2.434727214
0.396001	2.434474676
0.396801	2.434247813
0.397601	2.43399537
0.398401	2.433756783
0.399201	2.433518236
0.400001	2.433277751
0.400801	2.433039291
0.401601	2.432800871
0.402401	2.432562492
0.403201	2.432324154
0.404001	2.432085856
0.404801	2.431835764
0.405601	2.431597545
0.406401	2.431359366
0.407201	2.431121227
0.408001	2.430871286
0.408801	2.430633226
0.409601	2.430408958
0.410401	2.430159125
0.411201	2.429923072
0.412001	2.429685162
0.412801	2.429449171
0.413601	2.429211336
0.414401	2.428975408
0.415201	2.428725783
0.416001	2.428489915
0.416801	2.428254076
0.417601	2.428018264
0.418401	2.427782481
0.419201	2.427546727
0.420001	2.427311001
0.420801	2.427075303
0.421601	2.426839634
0.422401	2.426603993
0.423201	2.426368381
0.424001	2.426120904
0.424801	2.425899028
0.425601	2.425651597
0.426401	2.42541609
0.427201	2.42518238
0.428001	2.424946924
0.428801	2.424713252
0.429601	2.424479597
0.430401	2.424232301
0.431201	2.424010599
0.432001	2.423776999
0.432801	2.423543416
0.433601	2.42330985
0.434401	2.4230763
0.435201	2.422842767
0.436001	2.422597317
0.436801	2.422363815
0.437601	2.422143957
0.438401	2.421898543
0.439201	2.421665085
0.440001	2.421433314
0.440801	2.421199884
0.441601	2.420968128
0.442401	2.420734726
0.443201	2.420502986
0.444001	2.420271252
0.444801	2.420039523
0.445601	2.419794201
0.446401	2.419562485
0.447201	2.419330774
0.448001	2.419099067
0.448801	2.418880952
0.449601	2.418649253
0.450401	2.418417559
